Region,Type,Nature,Highest Price Month,Lowest Price Month,Highest Price,Lowest Price
Jaafar 1,Surfaces,Location,February,February,511238.2649639356,385959.4082204523
Rades Foret,App. 4 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Cite Jardins,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
Khezama Ouest,App. 1 pièc,Location,February,February,511238.2649639356,385959.4082204523
La Mannouba,Atelier,Bureaux & Commer,March,April,521676.05903310573,310308.0805972307
Hammam Sousse,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite Boussouffa,App. 3 pièc,Vente,February,February,511238.2649639356,385959.4082204523
El Kabbaria 4,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Khaznadar,Duplex,Vente,February,February,511238.2649639356,385959.4082204523
Amilcar,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Jebel El Oust,Autre,Location,March,April,521676.05903310573,310308.0805972307
Le Kram,App. 5 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Le Kram,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Cite Riadh,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Barraket Essahe,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Megrine Jaouhar,App. 5 pièc,Location,February,February,511238.2649639356,385959.4082204523
Chegarnia,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
Soliman,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Menzel Bourguib,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Kef Ouest,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Jardins de Cart,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Ouerdia,Surfaces,Bureaux & Commer,February,February,511238.2649639356,385959.4082204523
Ben Arous,Surfaces,Vente,March,May,521676.05903310573,274550.28580589977
Cite Ezzouhour,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Cite Chraf,Maisons,Location,February,February,511238.2649639356,385959.4082204523
Gammart,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite El Behi La,App. 3 pièc,Location,February,February,511238.2649639356,385959.4082204523
Sfax,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Ezzahra,Fond de Com,Bureaux & Commer,March,April,521676.05903310573,310308.0805972307
Gammart,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Marsa Ennassim,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Marsa Erriadh,App. 3 pièc,Vente,March,April,521676.05903310573,310308.0805972307
El Menzah 9,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Esskhira,Terrain nu,Terrain,February,February,511238.2649639356,385959.4082204523
El Menzah 9,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Chaabet El Mrez,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Le Bardo,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Bab El Khadra,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Khelidia,Surfaces,Vente,February,February,511238.2649639356,385959.4082204523
Le Bardo,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite El Ghazala,Bureau,Bureaux & Commer,February,February,511238.2649639356,385959.4082204523
La Goulette,Surfaces,Vente,March,March,521676.05903310573,335467.2110650256
Ennadhour,Maisons,Vente,February,February,511238.2649639356,385959.4082204523
Cite El Intissa,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
Essaltania,Autre,Vente,February,February,511238.2649639356,385959.4082204523
Megrine,Autre,Vente,February,February,511238.2649639356,385959.4082204523
Complexe Techno,Autre,Location,March,April,521676.05903310573,310308.0805972307
Berge Du Lac,Autre,Location,March,May,521676.05903310573,274550.28580589977
El Menzah 9,Autre,Location,March,May,521676.05903310573,274550.28580589977
Ras Jebel,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Charguia 1,App. 3 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Moknine,Duplex,Vente,February,February,511238.2649639356,385959.4082204523
Cite Ennasr 2,Duplex,Location,March,May,521676.05903310573,274550.28580589977
Kheireddine Pac,Fond de Com,Bureaux & Commer,February,February,511238.2649639356,385959.4082204523
Ariana,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Dar Fadhal,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Nabeul,Surfaces,Bureaux & Commer,February,February,511238.2649639356,385959.4082204523
Ain Zaghouan,App. 4 pièc,Vente,March,May,521676.05903310573,274550.28580589977
La Goulette Nou,App. 4 pièc,Location,February,February,511238.2649639356,385959.4082204523
Bou Mhel,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Sousse,Fond de Com,Bureaux & Commer,February,February,511238.2649639356,385959.4082204523
Sidi El Bechir,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Chatt Meriem,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
El Manar 1,Autre,Vente,February,February,511238.2649639356,385959.4082204523
Sousse Riadh,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Djerba,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Gabes,App. 3 pièc,Location,March,March,521676.05903310573,335467.2110650256
Menzel Bouzelfa,Autre,Vente,February,February,511238.2649639356,385959.4082204523
Monastir,App. 2 pièc,Location vacance,March,April,521676.05903310573,310308.0805972307
Cite Erriadh,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Borj Cedria,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Bir Drassen,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Cite Erriadh,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Ghar El Melh,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Ezzahra,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
La Soukra,Autre,Location,March,May,521676.05903310573,274550.28580589977
Cite Du Stade,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Le Kram,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Meghira Inzel,Surfaces,Location,February,February,511238.2649639356,385959.4082204523
Ghar El Melh,Maisons,Vente,February,February,511238.2649639356,385959.4082204523
Rades,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Bab El Khadra,App. 2 pièc,Vente,March,March,521676.05903310573,335467.2110650256
El Kobba El Keb,Terrain agr,Terrain,March,March,521676.05903310573,335467.2110650256
Hammam Chatt,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Sousse,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Kalaa Essghira,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Testour,Maisons,Vente,February,February,511238.2649639356,385959.4082204523
El Menzah 7,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Belli,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Sidi Bou Ali,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Le Kram,App. 4 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Borj Louzir,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Rades Meliane,Duplex,Vente,March,April,521676.05903310573,310308.0805972307
Ksar Said,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Raoued,Autre,Vente,March,April,521676.05903310573,310308.0805972307
Sidi Fathallah,Autre,Vente,February,February,511238.2649639356,385959.4082204523
El Menzah 7,App. 5 pièc,Location,March,May,521676.05903310573,274550.28580589977
Rades,Surfaces,Vente,February,February,511238.2649639356,385959.4082204523
El Menzah 5,App. 5 pièc,Vente,February,February,511238.2649639356,385959.4082204523
El Haouaria,App. 2 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Sousse Khezama,App. 1 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Sidi Bousaid,App. 1 pièc,Location,March,April,521676.05903310573,310308.0805972307
Djerba,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Nabeul,App. 1 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Kalaat Landlous,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Jardins de Cart,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Sousse Riadh,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Naassen,Terrain nu,Terrain,February,February,511238.2649639356,385959.4082204523
El Menzah 5,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Cartage Byrsa,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
El Maamoura,Maisons,Location vacance,March,May,521676.05903310573,274550.28580589977
Hammamet,App. 4 pièc,Location vacance,March,May,521676.05903310573,274550.28580589977
Ezzahrouni,App. 3 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Nouvelle Medina,App. 1 pièc,Vente,March,March,521676.05903310573,335467.2110650256
El Menzah 4,Autre,Vente,March,March,521676.05903310573,335467.2110650256
Cite El Kornich,Maisons,Location,March,March,521676.05903310573,335467.2110650256
El Menzah 7,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Mosque Erraoudh,Surfaces,Vente,March,March,521676.05903310573,335467.2110650256
Bab Bhar,Bureau,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Cite Universita,Maisons,Location,March,April,521676.05903310573,310308.0805972307
Jardins d'el Me,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Nabeul,Bureau,Bureaux & Commer,March,April,521676.05903310573,310308.0805972307
Cite Bougatfa 2,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Bizerte,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Cite El Misk,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Cite Essaada 2,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Sidi Rezig,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Bir El Kassaa,Surfaces,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
El Mourouj,App. 1 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Menzel Hedi Cha,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Caid Mhamed,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
El Yasminette,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
El Frada,Terrain agr,Terrain,March,March,521676.05903310573,335467.2110650256
Rafraf Plage,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Soliman,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Zaouiet Kontech,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Bizerte,Surfaces,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Sidi Ahmed Zarr,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Ain Zaghouan,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite Ennasser,App. 4 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Ras Jebel,Autre,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Village Mediter,App. 4 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Cite El Khalij,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
El Menzah 2,App. 3 pièc,Location,March,March,521676.05903310573,335467.2110650256
Residence Type,Duplex,Location,March,March,521676.05903310573,335467.2110650256
Nabeul,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Hammamet,App. 1 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Kalaa El Kebira,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Bab Bhar,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Le Kram Est,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
Barraket Essahe,Surfaces,Vente,March,May,521676.05903310573,274550.28580589977
Bou Mhel,Bureau,Bureaux & Commer,March,April,521676.05903310573,310308.0805972307
El Manar 2,App. 2 pièc,Partage,March,March,521676.05903310573,335467.2110650256
La Goulette,Autre,Vente,March,April,521676.05903310573,310308.0805972307
Bou Mhel,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Ain Zaghouan,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
La Goulette,App. 1 pièc,Location,March,April,521676.05903310573,310308.0805972307
Jardins d'el Me,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Cite Garde Nati,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Borj Cedria,Duplex,Vente,March,March,521676.05903310573,335467.2110650256
Borj Louzir,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Cite El Bousten,App. 2 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Cite Ennasr 1,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Ennagr,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Carthage,App. 5 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Menzel Bourguib,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Cite Jaouhara,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Bizerte,Autre,Location,March,March,521676.05903310573,335467.2110650256
Le Bardo,Surfaces,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Bab El Khadra,Autre,Location,March,April,521676.05903310573,310308.0805972307
Bab El Khadra,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
Cite Aeroport,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Hammam Sousse,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Cite Militaire,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Cite El Khalil,App. 4 pièc,Location,March,April,521676.05903310573,310308.0805972307
Cite Sidi Yahya,Autre,Vente,March,March,521676.05903310573,335467.2110650256
Mutuelle Ville,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Berge Du Lac,Duplex,Vente,March,May,521676.05903310573,274550.28580589977
El Omrane,Duplex,Vente,March,March,521676.05903310573,335467.2110650256
Kerkouane,App. 3 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Hammamet,Surfaces,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
El Aouina,Fond de Com,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Dar Allouche,App. 2 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Monastir,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Denden,Autre,Vente,March,March,521676.05903310573,335467.2110650256
Jendouba,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
El Menzah 5,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Kelibia,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Damous,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Megrine Coteau,Surfaces,Location,March,March,521676.05903310573,335467.2110650256
Cite Merzgui,App. 3 pièc,Location,March,March,521676.05903310573,335467.2110650256
Zone Industriel,Autre,Vente,March,April,521676.05903310573,310308.0805972307
El Ksibi,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Bou Ficha,Autre,Vente,March,March,521676.05903310573,335467.2110650256
Tantana,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Cite Ghouzaila,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Hammam Lif,Gérance lib,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Sidi Hassine,Autre,Location,March,March,521676.05903310573,335467.2110650256
Chatt Meriem,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Ben Arous,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Manar 1,Bureau,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Dar Allouche,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Cite Hedi Nouir,App. 3 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Sousse,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Ouriemma,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Ksar Said,App. 1 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Cite El Intilak,App. 2 pièc,Location,March,March,521676.05903310573,335467.2110650256
Khaznadar,Atelier,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Cite Ennouzha,App. 4 pièc,Location,March,March,521676.05903310573,335467.2110650256
Hammamet,Fond de Com,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Carthage,Duplex,Location,March,April,521676.05903310573,310308.0805972307
Cite De La Plag,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
El Kantaoui,Surfaces,Vente,March,March,521676.05903310573,335467.2110650256
Sousse Khezama,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Mahdia,App. 3 pièc,Location,March,April,521676.05903310573,310308.0805972307
Sidi Bou Ali,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Cite Sncft,App. 3 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Berge Du Lac,App. 2 pièc,Location vacance,March,April,521676.05903310573,310308.0805972307
Hammam Jebli,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Le Kram Est,Duplex,Vente,March,March,521676.05903310573,335467.2110650256
Bizerte Hached,Surfaces,Vente,March,March,521676.05903310573,335467.2110650256
Sfax,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
Sfax,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
El May,Maisons,Location,March,April,521676.05903310573,310308.0805972307
Zone urbaine no,App. 3 pièc,Partage,March,March,521676.05903310573,335467.2110650256
El Menzah 5,Surfaces,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Soliman,App. 1 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Merkez Kamoun,App. 3 pièc,Location,March,March,521676.05903310573,335467.2110650256
Chotrana 1,App. 5 pièc,Location,March,April,521676.05903310573,310308.0805972307
Cite El Fawara,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Jarzouna,App. 4 pièc,Location,March,March,521676.05903310573,335467.2110650256
Jardins de Cart,Duplex,Location,March,May,521676.05903310573,274550.28580589977
Gammart,Duplex,Location,March,May,521676.05903310573,274550.28580589977
Cite El Moustak,App. 4 pièc,Location,March,April,521676.05903310573,310308.0805972307
Cite De La Sant,App. 4 pièc,Location,March,March,521676.05903310573,335467.2110650256
Cite El Kornich,App. 4 pièc,Location,March,March,521676.05903310573,335467.2110650256
Bellevue,Atelier,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Sidi Daoud,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Jardins de Cart,Autre,Location,March,May,521676.05903310573,274550.28580589977
Ghardaya,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Cap Zbib,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Dar Chaabane Pl,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Dar Allouche,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Tunis Belvedere,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Henchir El Haou,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Megrine,App. 1 pièc,Location,March,April,521676.05903310573,310308.0805972307
Raoued,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Mahdia,App. 2 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Raoued,App. 3 pièc,Location,March,April,521676.05903310573,310308.0805972307
Bizerte,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Cartage Byrsa,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Salambo,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Sidi Bousaid,Surfaces,Location,March,March,521676.05903310573,335467.2110650256
Beni Khiar,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Cite Ennasr 1,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Habib Thameur,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite De La Plag,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
El Kantaoui,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Ksar Helal,App. 3 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Rades Plage,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Mahdia,App. 3 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Jardins de Cart,App. 5 pièc,Location,March,May,521676.05903310573,274550.28580589977
Jardins de Cart,Bureau,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Chotrana 1,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Kerkouane,App. 1 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Henchir El Haou,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Rades Plage,Autre,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Henchir El Haou,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Marsa Safsaf,Bureau,Bureaux & Commer,March,April,521676.05903310573,310308.0805972307
Chotrana 1,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Jebeniana,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Denden,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Jedaida,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Menzel Bouzelfa,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Utique,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Grombalia,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Zaouiet Sousse,App. 2 pièc,Location,March,March,521676.05903310573,335467.2110650256
Ennadhour,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Cite El Hana,App. 3 pièc,Location,March,March,521676.05903310573,335467.2110650256
Gammart,App. 2 pièc,Location vacance,March,March,521676.05903310573,335467.2110650256
Cite Ennouzha,App. 3 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Rades El Mrah,Duplex,Vente,March,March,521676.05903310573,335467.2110650256
Rades El Mrah,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Messadine,Surfaces,Location,March,March,521676.05903310573,335467.2110650256
Ben Arous Sud,Surfaces,Vente,March,May,521676.05903310573,274550.28580589977
El Omrane Super,App. 3 pièc,Location,March,March,521676.05903310573,335467.2110650256
Hammam Lif,App. 1 pièc,Location,March,April,521676.05903310573,310308.0805972307
El Aouina,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Monfleury,App. 3 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Carthage,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Bizerte,App. 4 pièc,Location vacance,March,March,521676.05903310573,335467.2110650256
Teboulba,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Bab Saadoun,App. 5 pièc,Vente,March,March,521676.05903310573,335467.2110650256
El Mourouj 2,Maisons,Location,March,March,521676.05903310573,335467.2110650256
Sidi Rezig,App. 2 pièc,Location,March,March,521676.05903310573,335467.2110650256
Ksar Said,App. 2 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Cite Ibn Khaldo,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite Du Jardin,App. 3 pièc,Location,March,March,521676.05903310573,335467.2110650256
Cite De France,App. 2 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Kelibia,Maisons,Location vacance,March,May,521676.05903310573,274550.28580589977
Cite Hedi Nouir,App. 2 pièc,Location,March,March,521676.05903310573,335467.2110650256
Tajerouine,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
El Menzah 3,Maisons,Location,March,March,521676.05903310573,335467.2110650256
Sfax,Duplex,Vente,March,March,521676.05903310573,335467.2110650256
Borj El Baccouc,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Ain Zaghouan,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Chaabet El Mrez,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
El Maamoura,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Dar Chaabane El,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Megrine,Autre,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Gammart,Terrain agr,Terrain,March,March,521676.05903310573,335467.2110650256
Mahras,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Le Kef,Surfaces,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Bizerte,App. 5 pièc,Location vacance,March,March,521676.05903310573,335467.2110650256
Mahdia,Autre,Vente,March,March,521676.05903310573,335467.2110650256
Mahdia,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
El Menzah 5,Surfaces,Location,March,April,521676.05903310573,310308.0805972307
Cite El Hajeb,App. 4 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Raoued,Autre,Location,March,March,521676.05903310573,335467.2110650256
Borj El Amri,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Cite Riadh,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Bab Bhar,App. 1 pièc,Vente,March,March,521676.05903310573,335467.2110650256
El Mourouj,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Ezzahra,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite Du Stade,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite Ennasr,Autre,Location,March,March,521676.05903310573,335467.2110650256
Cite Des Juges,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Berge Du Lac,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Menzel Bel Ouae,Terrain agr,Terrain,March,March,521676.05903310573,335467.2110650256
Sidi Daoud,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Ain Zaghouan,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Hammam Lif,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Sfax,Surfaces,Location,March,April,521676.05903310573,310308.0805972307
Sfax,App. 4 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Sfax,Surfaces,Bureaux & Commer,March,April,521676.05903310573,310308.0805972307
Cite Erriadh,App. 2 pièc,Location,March,March,521676.05903310573,335467.2110650256
Mahdia,App. 1 pièc,Location vacance,March,March,521676.05903310573,335467.2110650256
Ksour Essaf,Fond de Com,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Mahdia,Fond de Com,Bureaux & Commer,March,April,521676.05903310573,310308.0805972307
Kheireddine Pac,Autre,Location,March,March,521676.05903310573,335467.2110650256
Bab Bhar,Surfaces,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Zone urbaine no,Autre,Location,March,April,521676.05903310573,310308.0805972307
Sousse Corniche,App. 2 pièc,Location,March,March,521676.05903310573,335467.2110650256
El Yasmina,Surfaces,Location,March,March,521676.05903310573,335467.2110650256
Sfax,App. 3 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Cite Afh,App. 1 pièc,Location,March,April,521676.05903310573,310308.0805972307
Sakiet Ezzit,Terrain agr,Terrain,March,March,521676.05903310573,335467.2110650256
Ksar Helal,App. 2 pièc,Location,March,March,521676.05903310573,335467.2110650256
Mejel Bel Abbes,Terrain agr,Terrain,March,March,521676.05903310573,335467.2110650256
El Gorfa,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
El Haouaria,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Sfax,Autre,Vente,March,April,521676.05903310573,310308.0805972307
Ksar Said,Atelier,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Monastir,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Sakiet Ezzit,Surfaces,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
