Region,Nature,Type,Contact,Price,Modified Date
Ain Zaghouan,Location,App. 1 pièc,+216 7352514 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],560.0,05/05/2024
Ain Zaghouan,Location,App. 2 pièc,+216 2897365 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],140.0,05/05/2024
Ain Zaghouan,Location,App. 2 pièc,+216 2485101 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],560.0,05/05/2024
El Aouina,Location,App. 3 pièc,+216 5591758 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1400.0,05/05/2024
El Mourouj,Vente,App. 2 pièc,+216 5572546 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],140000.0,05/05/2024
Delaiel El Arou,Terrain,Terrain agr,+216 9897909 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],360000.0,05/05/2024
Bir Mcherga,Terrain,Terrain agr,+216 9428316 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],750000.0,05/05/2024
Bir Mcherga,Terrain,Terrain agr,+216 2910971 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],580000.0,05/05/2024
El Mourouj,Vente,App. 3 pièc,+216 5491644 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],130000.0,05/05/2024
Monfleury,Vente,Maisons,+216 5685364 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],200000.0,05/05/2024
Rades Plage,Location,App. 3 pièc,+216 9761328 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],600.0,05/05/2024
El Menzah 5,Vente,Maisons,+216 7105769 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1350000.0,05/05/2024
Sidi Soufiene,Terrain,Terrain nu,+216 2226599 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1500000.0,05/05/2024
La Mannouba,Terrain,Terrain nu,+216 2720240 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],557700.0,05/05/2024
Zone urbaine no,Bureaux & Commer,Surfaces,+216 9954483 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1400000.0,05/05/2024
Zone Hoteliere,Terrain,Terrain nu,+216 9866785 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],412800.0,05/05/2024
Berge Du Lac,Bureaux & Commer,Bureau,+216 9306436 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],52000.0,05/05/2024
Berge Du Lac,Bureaux & Commer,Bureau,+216 2650016 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],3263.0,05/05/2024
Beja,Bureaux & Commer,Surfaces,+216 9217898 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],534000.0,05/05/2024
El Menzah 6,Vente,Maisons,+216 9659847 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],2500000.0,05/05/2024
El Menzah 9,Location,Duplex,+216 5467665 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],2200.0,05/05/2024
El Menzah 9,Location,Duplex,+216 5273065 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],2200.0,05/05/2024
El Charguia,Bureaux & Commer,Surfaces,+216 7789179 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],5500.0,05/05/2024
Ben Arous,Bureaux & Commer,Surfaces,+216 5213985 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],5800.0,05/05/2024
Beni Khalled,Terrain,Terrain agr,+216 2470468 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],850000.0,05/05/2024
El Menzah 6,Vente,Duplex,+216 5746216 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],480000.0,05/05/2024
Dar Fadhal,Bureaux & Commer,Gérance lib,+216 2996038 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],3000.0,05/05/2024
Cite El Ghazala,Terrain,Terrain nu,+216 2358409 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],4480000.0,05/05/2024
El Menzah 6,Vente,Duplex,+216 5459148 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],420000.0,05/05/2024
Kelibia,Location,App. 3 pièc,+216 7825454 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],520.0,05/05/2024
Cite Ennasr 2,Bureaux & Commer,Bureau,+216 7677720 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],6500.0,05/05/2024
La Soukra,Location,App. 2 pièc,+216 2534197 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1100.0,05/05/2024
Sidi Messaoud,Terrain,Terrain agr,+216 7912895 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],85000.0,05/05/2024
La Soukra,Vente,Autre,+216 9098697 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],510000.0,05/05/2024
El Menzah 7,Vente,Maisons,+216 2035097 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1900000.0,05/05/2024
Mutuelle Ville,Vente,Maisons,+216 7084337 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1800000.0,05/05/2024
El Menzah 7,Vente,App. 4 pièc,+216 9679824 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],210000.0,05/05/2024
Mutuelle Ville,Bureaux & Commer,Bureau,+216 7272544 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],5000.0,05/05/2024
Cite Ennasr 1,Vente,App. 3 pièc,+216 7513695 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],320000.0,05/05/2024
Cite Ennasr 2,Location,App. 4 pièc,+216 5945110 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1780.0,05/05/2024
El Manar 2,Bureaux & Commer,Bureau,+216 9825377 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1900.0,05/05/2024
Ain Zaghouan,Location,App. 2 pièc,+216 7464167 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1100.0,05/05/2024
Mutuelle Ville,Location,Maisons,+216 7869863 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],3000.0,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,+216 7582937 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1580.0,05/05/2024
Jardins de Cart,Location,App. 2 pièc,+216 2003399 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1200.0,05/05/2024
Jardins de Cart,Vente,App. 2 pièc,+216 2864095 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],280000.0,05/05/2024
La Soukra,Location,App. 2 pièc,+216 7593351 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],900.0,05/05/2024
Le Bardo,Location,App. 3 pièc,+216 2402673 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],600.0,05/05/2024
El Mourouj 2,Vente,App. 3 pièc,+216 5837762 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],120000.0,05/05/2024
Naassen,Bureaux & Commer,Autre,+216 9139236 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],140000.0,05/05/2024
Naassen,Terrain,Terrain agr,+216 5263930 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],2000000.0,05/05/2024
Le Bardo,Vente,App. 3 pièc,+216 2094987 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],270000.0,05/05/2024
Ain Zaghouan,Location,App. 2 pièc,+216 9191449 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1600.0,05/05/2024
Cite Jardins,Bureaux & Commer,Bureau,+216 9846716 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],3650000.0,05/05/2024
Hergla,Bureaux & Commer,Surfaces,+216 2319545 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],600000.0,05/05/2024
Kalaa Essghira,Terrain,Terrain agr,+216 7933849 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],12500000.0,05/05/2024
Chouchet Rades,Terrain,Terrain nu,+216 9355055 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],320000.0,05/05/2024
Charguia 2,Bureaux & Commer,Bureau,+216 7335170 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],4200.0,05/05/2024
Le Kram,Bureaux & Commer,Bureau,+216 2042634 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],8700.0,05/05/2024
Le Kram,Bureaux & Commer,Bureau,+216 9135741 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],2200.0,05/05/2024
El Menzah 7,Vente,App. 3 pièc,+216 5090306 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],205000.0,05/05/2024
Cite El Ghazala,Terrain,Terrain nu,+216 7433572 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],260000.0,05/05/2024
Cite Ennasr 2,Vente,App. 3 pièc,+216 5181858 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],380000.0,05/05/2024
Sfax,Terrain,Terrain nu,+216 9622100 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],300000.0,05/05/2024
Bir Ben Ayed,Terrain,Terrain agr,+216 9491904 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],298000.0,05/05/2024
Nabeul,Location,Maisons,+216 7457888 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],700.0,05/05/2024
Chotrana 1,Location,App. 3 pièc,+216 9487306 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1800.0,05/05/2024
Borj Cedria,Location,App. 3 pièc,+216 2650808 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1500.0,05/05/2024
El Ouerdia,Vente,Maisons,+216 2186069 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],250000.0,05/05/2024
Berge Du Lac,Bureaux & Commer,Bureau,+216 7445780 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],17500.0,05/05/2024
Bir El Mellouli,Terrain,Terrain agr,+216 7078121 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],85000.0,05/05/2024
Sfax,Location,App. 4 pièc,+216 7003556 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],550.0,05/05/2024
El Ain,Terrain,Terrain nu,+216 5726247 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],240000.0,05/05/2024
Merkez Sahnoun,Terrain,Terrain nu,+216 2047168 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],200000.0,05/05/2024
Jardins d'el Me,Terrain,Terrain nu,+216 5885203 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],110000.0,05/05/2024
Hammamet,Location vacance,App. 4 pièc,+216 5737216 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],2200.0,05/05/2024
Cite El Khadra,Vente,App. 3 pièc,+216 2848142 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],142000.0,05/05/2024
Cite El Khadra,Vente,Maisons,+216 5034857 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],999000.0,05/05/2024
Raoued,Vente,Maisons,+216 9568100 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],95000.0,05/05/2024
El Mourouj,Vente,Autre,+216 7079879 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],190000.0,05/05/2024
El Haouaria,Vente,Maisons,+216 7901124 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],320000.0,05/05/2024
Meghira Centre,Terrain,Terrain nu,+216 7239347 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],672000.0,05/05/2024
Hammamet,Location,App. 3 pièc,+216 7273365 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1500.0,05/05/2024
Jardins d'el Me,Location,App. 2 pièc,+216 9681775 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],800.0,05/05/2024
Riadh Landlous,Location,App. 1 pièc,+216 7596426 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],800.0,05/05/2024
Ariana,Location,App. 3 pièc,+216 9020565 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],800.0,05/05/2024
El Aouina,Location,App. 2 pièc,+216 7120630 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],950.0,05/05/2024
El Aouina,Location,App. 2 pièc,+216 2637898 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],950.0,05/05/2024
Hammamet,Location vacance,App. 3 pièc,+216 7820444 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1400.0,05/05/2024
Berge Du Lac,Bureaux & Commer,Bureau,+216 2104847 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],10270.0,05/05/2024
Berge Du Lac,Vente,Maisons,+216 2367898 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],3800000.0,05/05/2024
Gammart,Vente,Maisons,+216 7122822 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],10000000.0,05/05/2024
Nabeul,Location,Maisons,+216 7727448 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],550.0,05/05/2024
Hammamet,Location vacance,App. 1 pièc,+216 9360568 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],650.0,05/05/2024
Khaznadar,Location,App. 2 pièc,+216 2829788 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],470.0,05/05/2024
Hammamet,Location,App. 2 pièc,+216 9605243 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],800.0,05/05/2024
Hammamet,Location,App. 3 pièc,+216 9309160 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],750.0,05/05/2024
Berge Du Lac,Location,App. 5 pièc,+216 7291608 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],2300.0,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,+216 7892247 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1200.0,05/05/2024
Berge Du Lac,Location,App. 3 pièc,+216 7594214 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1300.0,05/05/2024
Sidi Frej,Location,App. 1 pièc,+216 9124266 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],450.0,05/05/2024
El Mourouj,Location,App. 3 pièc,+216 7094328 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],700.0,05/05/2024
La Soukra,Location,App. 3 pièc,+216 9188495 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],600.0,05/05/2024
Cite Touristiqu,Vente,Maisons,+216 2659312 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],225000.0,05/05/2024
La Soukra,Location,App. 1 pièc,+216 2863614 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],450.0,05/05/2024
Ibn Sina,Vente,Duplex,+216 5520658 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],270000.0,05/05/2024
El Haouaria,Terrain,Terrain nu,+216 5115749 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],50000.0,05/05/2024
El Mourouj,Vente,App. 3 pièc,+216 5742236 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],130000.0,05/05/2024
El Haouaria,Vente,Maisons,+216 2720013 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],240000.0,05/05/2024
Hammamet,Location,App. 2 pièc,+216 5495112 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],600.0,05/05/2024
Menzel Horr,Terrain,Terrain agr,+216 7922243 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],140000.0,05/05/2024
El Ksibi,Terrain,Terrain nu,+216 9093072 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],60000.0,05/05/2024
El Ksibi,Terrain,Terrain nu,+216 9441362 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],60000.0,05/05/2024
El Ksibi,Terrain,Terrain nu,+216 9342929 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],60000.0,05/05/2024
Jardins d'el Me,Location,App. 2 pièc,+216 2708450 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],750.0,05/05/2024
Menzel Temime,Terrain,Terrain nu,+216 9797516 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],144000.0,05/05/2024
Khaznadar,Location,App. 2 pièc,+216 7417253 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],900.0,05/05/2024
Cite Ennasr 1,Location,App. 3 pièc,+216 5387521 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1400.0,05/05/2024
Le Bardo,Location,App. 2 pièc,+216 7782181 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],800.0,05/05/2024
Menzel Temime,Bureaux & Commer,Bureau,+216 5591301 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],650.0,05/05/2024
El Menzah 7,Vente,App. 3 pièc,+216 2624000 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],19500.0,05/05/2024
El Manar 2,Location,App. 3 pièc,+216 7089698 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1450.0,05/05/2024
Ariana,Vente,App. 4 pièc,+216 7536129 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],300000.0,05/05/2024
Cite El Ghazala,Vente,App. 3 pièc,+216 2692224 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],235000.0,05/05/2024
Cite El Ghazala,Location,App. 2 pièc,+216 9407159 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1200.0,05/05/2024
Tantana,Vente,App. 3 pièc,+216 7997210 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],300000.0,05/05/2024
Sounine,Location vacance,App. 3 pièc,+216 7688356 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1200.0,05/05/2024
Borj Louzir,Bureaux & Commer,Bureau,+216 9521980 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],800.0,05/05/2024
El Manar 1,Location,App. 3 pièc,+216 9882846 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],900.0,05/05/2024
Cite Ettahrir S,Location,App. 2 pièc,+216 7210302 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],320.0,05/05/2024
Le Kram,Bureaux & Commer,Bureau,+216 9514208 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],23333.0,05/05/2024
El Aouina,Location,Maisons,+216 2739413 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],300.0,05/05/2024
Montplaisir,Bureaux & Commer,Bureau,+216 5055783 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],9500.0,05/05/2024
Hedi Chaker,Location,App. 2 pièc,+216 5807380 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],780.0,05/05/2024
Salambo,Location,App. 3 pièc,+216 2870068 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],450.0,05/05/2024
Le Kram Est,Location,App. 3 pièc,+216 2116878 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1300.0,05/05/2024
Le Bardo,Location,App. 3 pièc,+216 5084814 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],600.0,05/05/2024
Tunis Belvedere,Bureaux & Commer,Bureau,+216 9828388 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],700.0,05/05/2024
Ariana,Location,App. 3 pièc,+216 5477158 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],700.0,05/05/2024
El Manar 1,Location,App. 1 pièc,+216 2715459 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],700.0,05/05/2024
El Maamoura,Location vacance,Maisons,+216 7597849 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],3500.0,05/05/2024
Ain Zaghouan,Location,App. 2 pièc,+216 5286914 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1000.0,05/05/2024
Dar Fadhal,Vente,Maisons,+216 2203849 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],165000.0,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,+216 2244472 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],1100.0,05/05/2024
Republique,Vente,App. 3 pièc,+216 2710039 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],170000.0,05/05/2024
Cite El Ghazala,Terrain,Terrain nu,+216 2056927 - [http://www.tunisie-annonce.com/AnnoncesImmobilier.asp],225000.0,05/05/2024
